processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
25,500,1.086343,0.634534,0.251246,68712,33705
1,1000,11.803171,11.738309,0.054836,84524,46
4,1000,3.401927,3.298788,0.591500,76224,188
9,1000,4.679833,4.544109,1.498671,74880,178
16,1000,4.155693,3.986807,1.256458,75520,360
25,1000,4.911640,2.902415,1.151756,75420,96103
1,2000,104.873894,104.465095,0.358919,142904,326
4,2000,31.326918,30.928035,3.604201,108132,283
9,2000,21.919565,19.826868,4.712007,101952,322
16,2000,20.793094,20.313777,4.852236,100716,553
25,2000,27.999288,17.814749,5.693290,99276,471883
1,500,1.269987,1.254168,0.015667,69680,10
4,500,0.737420,0.677006,0.169467,68348,59
9,500,0.743802,0.642296,0.239055,68244,165
16,500,1.082781,1.027544,0.374127,69596,523
25,500,1.746955,0.919510,0.413850,69856,46223
1,1000,11.770350,11.700835,0.066082,84316,43
4,1000,3.338037,3.246478,0.601742,75988,42
9,1000,4.034444,3.937835,1.280352,75088,302
16,1000,4.210640,4.012941,1.267530,74596,506
25,1000,6.349657,4.022846,1.477462,76208,136191
1,2000,104.871108,104.412487,0.408021,142772,339
4,2000,26.530514,26.212385,2.230784,108020,182
9,2000,29.521970,28.749346,8.137031,102092,221
16,2000,20.134970,19.776896,5.007119,100188,517
25,2000,28.915316,16.471335,5.574725,100044,474754
1,500,1.274749,1.256666,0.017930,69604,10
4,500,0.712266,0.665485,0.167126,68088,85
9,500,0.801399,0.691365,0.249912,68368,207
16,500,1.108886,1.023196,0.405413,69412,390
25,500,1.547571,1.155595,0.423000,70016,51492
1,1000,11.720154,11.656259,0.057803,84280,46
4,1000,3.403616,3.292333,0.629816,76200,183
9,1000,2.463735,2.299420,0.657917,75076,158
16,1000,4.005171,3.821169,1.207775,74660,588
25,1000,5.311319,3.559325,1.099960,75716,103567
1,2000,104.836316,104.382160,0.404364,142896,330
4,2000,27.160299,26.699323,2.301220,108000,256
9,2000,21.837679,19.795576,4.712576,102320,501
16,2000,20.283542,19.767506,4.875387,100360,649
25,2000,26.657405,17.420162,5.236138,99772,446245
1,500,1.319936,1.300124,0.019697,69604,7
4,500,0.699720,0.648494,0.164782,67928,31
9,500,0.723596,0.621706,0.220629,68224,216
16,500,1.120076,1.052923,0.386882,69268,436
25,500,2.347567,1.278170,0.610657,70120,55836
1,1000,11.812661,11.753380,0.055470,84404,47
4,1000,3.382490,3.254967,0.604610,76192,97
9,1000,2.886686,2.547180,0.832277,74912,307
16,1000,4.169634,4.006916,1.216530,74964,488
25,1000,7.691235,4.169184,1.873754,76192,184698
1,2000,105.112944,104.695482,0.364648,142936,382
4,2000,30.122903,28.499643,3.634636,108148,185
9,2000,26.396213,23.028635,6.004477,102380,284
16,2000,21.103586,20.384363,4.792534,100620,655
25,2000,27.872471,17.250451,5.217974,99308,523277
1,500,1.277259,1.255179,0.021957,69880,10
4,500,0.698873,0.646526,0.179565,67748,32
9,500,0.771106,0.652957,0.243326,68096,225
16,500,1.104871,0.998711,0.356068,68808,457
25,500,2.062682,1.132902,0.535862,69760,55031
1,1000,11.764669,11.688413,0.065763,84316,40
4,1000,3.742392,3.510827,0.735213,75780,54
9,1000,3.352797,3.244111,1.024771,74448,243
16,1000,4.159485,3.995561,1.355622,75260,497
25,1000,6.310824,3.734900,1.532505,75292,138516
1,2000,106.463499,105.980065,0.435268,142744,265
4,2000,27.690832,27.168350,2.723723,108144,134
9,2000,29.079520,24.918538,6.794907,102128,233
16,2000,20.748925,20.191088,5.016651,100696,492
25,2000,30.176727,17.430047,6.086167,100056,526812
1,500,1.294568,1.275033,0.019412,69796,8
4,500,0.700203,0.658801,0.186606,67808,377
9,500,0.707854,0.609223,0.232818,68316,263
16,500,1.106189,1.044336,0.341259,69508,498
25,500,1.721631,1.099262,0.430547,69984,35255
1,1000,11.761582,11.686591,0.064614,84340,43
4,1000,3.357876,3.298013,0.590029,75768,55
9,1000,3.921200,3.803102,1.215655,74904,213
16,1000,4.203649,4.028309,1.290004,75356,430
25,1000,6.325418,4.001527,1.445295,75728,125236
1,2000,104.394651,103.951532,0.392786,142896,313
4,2000,26.944034,26.486455,2.460698,108068,190
9,2000,34.373408,31.989687,10.032339,102344,285
16,2000,21.222943,20.772065,4.724019,100080,596
25,2000,28.833499,17.304525,5.816685,99888,482613
1,500,1.283419,1.267265,0.015950,69520,14
4,500,0.709430,0.670734,0.186713,67856,227
9,500,0.789330,0.689120,0.253227,67796,218
16,500,1.101169,1.031939,0.359939,69828,477
25,500,1.645004,1.117768,0.405053,70032,43444
1,1000,11.779686,11.733066,0.045721,84752,49
4,1000,3.515785,3.357404,0.671665,76068,51
9,1000,4.580954,4.479488,1.504271,74684,151
16,1000,4.145885,3.967997,1.195286,75100,508
25,1000,6.237870,3.596132,1.453816,75348,128773
1,2000,104.348852,103.908661,0.393874,142872,175
4,2000,27.293457,26.669345,2.495243,108320,327
9,2000,22.389863,20.172982,5.718713,102088,167
16,2000,19.997054,19.241059,4.469732,100688,822
25,2000,30.364640,17.099537,6.152231,100004,521074
1,500,1.284801,1.267862,0.016799,69816,11
4,500,0.718042,0.671544,0.182926,68212,99
9,500,0.721948,0.624549,0.260735,68352,217
16,500,1.082026,1.017728,0.396286,69424,535
25,500,1.219750,0.759821,0.322651,69108,27852
1,1000,11.796054,11.742129,0.048479,84344,42
4,1000,3.874126,3.757972,0.802793,75804,47
9,1000,5.063606,4.775167,1.726448,74876,161
16,1000,4.188175,4.020137,1.250310,75880,476
25,1000,6.677487,3.787312,1.693484,75212,161512
1,2000,106.489001,106.055049,0.385105,143016,296
4,2000,27.371533,26.896102,2.479600,108228,174
1,500,1.268365,1.255255,0.012965,69656,8
4,500,0.698640,0.652541,0.160023,68200,35
9,500,0.612967,0.545757,0.187283,68424,227
16,500,0.637432,0.564248,0.212806,69316,413
25,500,1.046554,0.682406,0.293024,69308,43784
