MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
2000,49,1,19,5341416
2000,49,1,7,5341562
2000,49,1,17,5341416
2000,49,1,14,5374878
2000,49,1,11,5374878
2000,49,1,12,5374898
2000,49,1,22,5341416
2000,49,1,21,5408360
2000,49,1,16,5341396
2000,49,1,13,5374878
2000,49,1,2,5343928
2000,49,1,20,5341284
2000,49,1,24,5408044
2000,49,1,5,5343504
2000,49,1,23,5341416
2000,49,1,1,5343336
2000,49,1,6,5343504
2000,64,1,19,5083863
2000,64,1,9,5083413
2000,64,1,10,5083415
2000,64,1,26,5117065
2000,64,1,3,5149593
2000,64,1,24,5117177
2000,64,1,18,5083863
2000,64,1,15,5083415
2000,64,1,12,5083435
2000,64,1,1,5182291
2000,64,1,28,5150511
2000,64,1,5,5116727
2000,64,1,21,5083863
2000,64,1,29,5150491
2000,64,1,27,5117177
2000,64,1,8,5083245
2000,64,1,2,5149425
2000,64,1,0,37741824
2000,64,1,4,5116559
2000,64,1,22,5083863
2000,64,1,13,5083435
2000,64,1,7,5116747
2000,64,1,11,5083435
2000,64,1,23,5083883
2000,64,1,14,5083415
2000,64,1,25,5117177
2000,64,1,17,5083863
2000,64,1,16,5083695
2000,64,1,30,5183805
2000,64,1,31,5217007
2000,64,1,20,5083863
2000,64,1,6,5116727
500,1,0,0,8123688
500,4,0,1,4976337
500,4,0,0,6763489
500,9,0,3,4497324
500,9,0,0,6397740
500,9,0,4,4463526
500,9,0,1,4432134
500,9,0,2,4496820
500,16,0,1,4243337
500,16,0,3,4243505
500,16,0,4,4241395
500,16,0,0,6381436
500,16,0,2,4243337
500,16,0,6,4340297
500,16,0,7,4340297
500,16,0,5,4241563
500,25,0,9,4262293
500,25,0,4,4212089
500,25,0,5,4197021
500,25,0,3,4211921
500,25,0,11,4262295
500,25,0,0,6460868
500,25,0,12,4295609
500,25,0,6,4197041
500,25,0,2,4211921
500,25,0,1,4211753
500,25,0,10,4262295
500,25,0,7,4197041
500,25,0,8,4310059
500,36,0,3,4164089
500,36,0,4,4188487
500,36,0,11,4128687
500,36,0,6,4128685
500,36,0,0,6638236
500,36,0,12,4128687
500,36,0,2,4163941
500,36,0,7,4128685
500,36,0,9,4128685
500,36,0,13,4128687
500,36,0,5,4130627
500,36,0,10,4128687
500,36,0,1,4130607
500,36,0,8,4128517
500,36,0,14,4194653
500,36,0,16,4261113
500,36,0,17,4195315
500,36,0,15,4194653
500,49,0,11,4149007
500,49,0,10,4149027
500,49,0,23,4181511
500,49,0,13,4149007
500,49,0,22,4181511
500,49,0,16,4115525
500,49,0,7,4115691
500,49,0,14,4149007
500,49,0,4,4183001
500,49,0,8,4115523
500,49,0,19,4181511
500,49,0,24,4248139
500,49,0,20,4214295
500,49,0,6,4117633
500,49,0,21,4182041
500,49,0,15,4149007
500,49,0,9,4149025
500,49,0,2,4117465
500,49,0,3,4117633
500,49,0,5,4117633
500,49,0,0,6899407
500,49,0,1,4118057
500,49,0,17,4115545
