MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
1000,9,9,1,5921546
1000,9,9,0,13508921
1000,9,9,4,5952114
1000,9,9,2,5984354
1000,16,9,4,5169404
1000,16,9,0,13082829
1000,16,9,2,5171228
1000,16,9,1,5171228
1000,16,9,6,5169572
1000,16,9,7,5169572
1000,16,9,5,5169572
1000,16,9,3,5171396
1000,25,9,2,4868418
1000,25,9,6,4899042
1000,25,9,0,13000423
1000,25,9,3,4868586
1000,25,9,9,4866482
1000,25,9,10,4866484
1000,25,9,5,4899022
1000,25,9,8,4866594
1000,25,9,4,4868418
1000,25,9,1,4868418
1000,25,9,12,4898876
1000,25,9,7,4899042
1000,25,9,11,4866484
2000,1,9,0,83999275
2000,4,9,0,48136134
2000,4,9,1,20100283
2000,9,9,4,11285442
2000,9,9,0,41508893
2000,9,9,1,11255006
2000,9,9,2,11255064
2000,9,9,3,11255174
2000,16,9,5,8169572
2000,16,9,3,8171396
2000,16,9,0,39172515
2000,16,9,7,8169572
2000,16,9,4,8169404
2000,16,9,6,8169572
2000,16,9,1,8171228
2000,16,9,2,8171228
2000,25,9,3,6788586
2000,25,9,2,6788418
2000,25,9,8,6786594
2000,25,9,7,6819042
2000,25,9,5,6819042
2000,25,9,11,6786484
2000,25,9,10,6786484
2000,25,9,6,6819022
2000,25,9,12,6818876
2000,25,9,9,6786482
2000,25,9,0,38149705
2000,25,9,4,6788418
2000,25,9,1,6788418
500,1,10,0,8999275
500,4,10,1,5100283
500,4,10,0,6886134
500,9,10,1,4583006
500,9,10,2,4645682
500,9,10,4,4613442
500,9,10,0,6573777
500,9,10,3,4646186
500,16,10,6,4517252
500,16,10,5,4419572
500,16,10,7,4517252
500,16,10,1,4421228
500,16,10,4,4517084
500,16,10,3,4421396
500,16,10,2,4421228
500,16,10,0,6552757
500,25,10,10,4386616
500,25,10,8,4465454
500,25,10,12,4418876
500,25,10,6,4419022
500,25,10,2,4436962
500,25,10,5,4419022
500,25,10,3,4436962
500,25,10,7,4419022
500,25,10,9,4386594
500,25,10,4,4437130
500,25,10,11,4386616
500,25,10,0,6640591
500,25,10,1,4437082
1000,1,10,0,23999279
1000,4,10,1,8100287
1000,4,10,0,15136138
1000,9,10,2,5984694
1000,9,10,4,5952118
1000,9,10,3,5984862
1000,9,10,0,13508925
1000,9,10,1,5921682
1000,16,10,1,5171232
1000,16,10,5,5169576
1000,16,10,3,5171400
1000,16,10,4,5169408
1000,16,10,0,13082833
1000,16,10,6,5169576
1000,16,10,2,5171232
1000,16,10,7,5169576
1000,25,10,1,4868422
1000,25,10,5,4899026
1000,25,10,6,4899026
1000,25,10,12,4898860
1000,25,10,3,4868590
1000,25,10,9,4866486
1000,25,10,10,4866488
1000,25,10,8,4866598
1000,25,10,2,4868422
1000,25,10,11,4866488
1000,25,10,7,4899046
1000,25,10,0,13000427
1000,25,10,4,4868422
2000,1,10,0,83999279
2000,4,10,0,48136138
2000,4,10,1,20100287
2000,9,10,4,11285446
2000,9,10,2,11254936
2000,9,10,1,11255010
2000,9,10,0,41508897
2000,9,10,3,11255178
2000,16,10,1,8171232
2000,16,10,6,8169576
2000,16,10,4,8169408
2000,16,10,3,8171400
2000,16,10,0,39172519
2000,16,10,5,8169576
2000,16,10,2,8171232
2000,16,10,7,8169576
2000,25,10,10,6786488
2000,25,10,2,6788422
2000,25,10,3,6788590
2000,25,10,7,6819046
2000,25,10,11,6786488
2000,25,10,8,6786598
2000,25,10,12,6818880
2000,25,10,0,38149709
2000,25,10,1,6788422
2000,25,10,9,6786486
2000,25,10,4,6788422
2000,25,10,6,6819026
2000,25,10,5,6819046
500,1,11,0,8999275
500,4,11,0,6886134
500,4,11,1,5100283
500,9,11,2,4645850
500,9,11,1,4582986
500,9,11,3,4646186
500,9,11,4,4613442
500,9,11,0,6573777
500,16,11,3,4421264
500,16,11,1,4421096
500,16,11,5,4419440
500,16,11,4,4517084
500,16,11,2,4421096
500,16,11,6,4517252
500,16,11,0,6552645
500,16,11,7,4517252
500,25,11,9,4484294
500,25,11,2,4436962
500,25,11,5,4419022
500,25,11,4,4437130
500,25,11,8,4534046
500,25,11,11,4386596
500,25,11,12,4418856
500,25,11,6,4419022
500,25,11,0,6640591
500,25,11,7,4419022
500,25,11,10,4484296
500,25,11,1,4388418
500,25,11,3,4436962
1000,1,11,0,23999279
1000,4,11,0,15136122
1000,4,11,1,8100271
1000,9,11,4,5952079
1000,9,11,0,13508906
1000,9,11,2,5984339
1000,9,11,3,5984843
1000,9,11,1,5921531
1000,16,11,1,5171078
1000,16,11,4,5169254
1000,16,11,6,5169422
1000,16,11,7,5169422
1000,16,11,2,5171210
1000,16,11,0,13082699
1000,16,11,3,5171378
1000,16,11,5,5169422
1000,25,11,8,4866571
1000,25,11,5,4899019
1000,25,11,4,4868395
1000,25,11,6,4899019
1000,25,11,10,4866461
1000,25,11,11,4866461
1000,25,11,12,4898853
1000,25,11,1,4868395
1000,25,11,9,4866459
1000,25,11,0,13000400
1000,25,11,7,4898999
1000,25,11,2,4868395
1000,25,11,3,4868563
2000,1,11,0,83999264
2000,4,11,1,20100271
2000,4,11,0,48136122
2000,9,11,4,11285427
2000,9,11,3,11255027
2000,9,11,0,41508878
2000,9,11,1,11254991
2000,9,11,2,11254917
2000,16,11,2,8171210
2000,16,11,3,8171378
2000,16,11,4,8169386
2000,16,11,5,8169554
2000,16,11,0,39172497
2000,16,11,7,8169554
2000,16,11,1,8171210
2000,16,11,6,8169554
2000,25,11,0,38149682
2000,25,11,4,6788395
2000,25,11,7,6818999
2000,25,11,3,6788563
2000,25,11,10,6786461
2000,25,11,5,6819019
2000,25,11,12,6818853
2000,25,11,8,6786571
2000,25,11,1,6788395
2000,25,11,11,6786573
2000,25,11,6,6818999
2000,25,11,9,6786571
2000,25,11,2,6788395
500,1,12,0,8999260
500,4,12,1,5100267
500,4,12,0,6886118
500,9,12,4,4613423
500,9,12,3,4646167
500,9,12,1,4582987
500,9,12,0,6573758
500,9,12,2,4645663
500,16,12,2,4421206
500,16,12,1,4421206
500,16,12,3,4421374
500,16,12,7,4582782
500,16,12,6,4517230
500,16,12,0,6552735
500,16,12,5,4419550
500,16,12,4,4419382
500,25,12,12,4418849
500,25,12,3,4388559
500,25,12,1,4388391
500,25,12,2,4436935
500,25,12,5,4418995
500,25,12,6,4418995
500,25,12,11,4386589
500,25,12,10,4386589
500,25,12,9,4549819
500,25,12,8,4534019
500,25,12,0,6640564
500,25,12,7,4418995
500,25,12,4,4437103
1000,1,12,0,23999264
1000,4,12,0,15136122
1000,4,12,1,8100271
1000,9,12,4,5952099
1000,9,12,1,5921663
1000,9,12,0,13508906
1000,9,12,3,5984843
1000,9,12,2,5984675
1000,16,12,4,5169386
1000,16,12,3,5171378
1000,16,12,1,5171210
1000,16,12,5,5169554
1000,16,12,6,5169554
1000,16,12,2,5171210
1000,16,12,7,5169554
1000,16,12,0,13082811
1000,25,12,10,4866461
1000,25,12,7,4899019
1000,25,12,12,4898853
1000,25,12,9,4866459
