processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
1,2000,54.732269,54.317708,0.372604,137752,107
4,2000,16.899695,16.594677,3.671075,111988,68
9,2000,10.654725,10.394374,3.605919,105636,103
16,2000,8.585310,8.243739,3.657172,102540,130
25,2000,7.652696,7.309064,3.724228,100668,163
36,2000,10.645744,10.234764,6.005311,101184,199
49,2000,10.367293,9.829839,5.958704,102212,272
64,2000,10.129000,9.443228,5.451546,103392,527
1,500,1.091713,1.070753,0.020932,64860,6
4,500,0.660949,0.612549,0.288556,71124,22
9,500,0.591358,0.527049,0.302979,70636,34
16,500,0.542515,0.478045,0.296410,72008,86
25,500,0.643324,0.542394,0.359392,71968,176
36,500,0.805586,0.684193,0.468704,73096,245
49,500,0.726519,0.521483,0.432237,73620,242
64,500,0.935950,0.717023,0.537623,74892,668
1,1000,6.952390,6.894430,0.051633,79048,13
4,1000,2.939205,2.848870,0.952492,79916,30
9,1000,2.159016,2.055056,0.942839,78464,63
16,1000,1.975753,1.849010,1.027829,77300,214
25,1000,1.940422,1.761446,1.064002,76652,362
36,1000,2.073468,1.730496,1.194000,77432,177
49,1000,2.807232,2.454104,1.688839,79740,287
64,1000,2.583511,2.340632,1.454334,79696,527
1,2000,53.422345,53.050334,0.329629,137344,131
4,2000,16.715148,16.463975,3.604646,112256,77
9,2000,10.579493,10.340444,3.594701,106004,47
16,2000,8.973115,8.728642,3.905519,103056,102
25,2000,7.783324,7.434764,3.782927,102004,121
36,2000,8.277276,7.202593,4.447503,102724,237
49,2000,10.394515,9.848697,5.903636,102200,358
64,2000,10.145052,9.525147,5.425693,102792,597
1,500,1.080637,1.064677,0.015908,64412,6
4,500,0.648966,0.599502,0.269453,72060,37
9,500,0.580895,0.524591,0.286881,70812,36
16,500,0.583059,0.521911,0.316315,72152,73
25,500,0.600799,0.489840,0.327246,72220,192
36,500,0.622697,0.490770,0.362094,73028,226
49,500,0.892707,0.704205,0.517893,73596,345
64,500,0.943275,0.709999,0.526085,74888,502
1,1000,6.948828,6.866149,0.073622,79336,19
4,1000,2.928569,2.835573,0.937745,80164,23
9,1000,2.183578,2.064835,0.934709,77188,48
16,1000,1.958954,1.821081,0.993071,77352,73
25,1000,1.935849,1.766259,1.064264,76336,189
36,1000,2.138252,1.786658,1.216750,78428,137
49,1000,2.807532,2.436145,1.685433,78664,228
64,1000,2.565385,2.337744,1.444725,83236,655
1,2000,54.582798,54.147892,0.392630,138064,153
4,2000,16.729062,16.455819,3.495061,112028,50
9,2000,10.893309,10.505075,3.755638,105472,55
16,2000,8.636700,8.322691,3.668649,104108,68
25,2000,7.773016,7.451691,3.755204,101732,294
36,2000,9.429172,9.011402,5.227213,101716,204
49,2000,10.405607,9.882535,5.926438,101908,274
64,2000,10.138042,9.503201,5.457114,102716,564
1,500,1.078314,1.053319,0.024921,64044,12
4,500,0.646843,0.597496,0.264995,71860,40
